"subjid","rownum","submitdate","dimension","run","counterbalance","introcheck","introrating","introtiming","rating1","timing1","q1seen","q1comments","city","country","gender","age","thoughts","playtiming","playrating"
"FSF_r2a_fa_0","244","2013-11-07 22:44","fa","2","a","getit","10","timing:","0!1!2!3!PAUSE!PLAY!2!1!0!1!2!3!2!1!2!1!0!1!0!1!2!3!4!5!6!5!4!3!2!3!4!5!4!3!4!5!6!7!6!7!8!7!6!5!4!3!4!3!4!5!4!5!4!5!6!5!4!5!4!3!4!5!6!7!8!9!10!9!8!7!6!5!4!3!2!1!0!0!0!0!0!1!2!3!4!3!4!5!6!5!6!7!6!5!4!5!6!7!8!9!8!7!6!7!8!9!8!7!8!7!8!7!6!5!6!7!6!PAUSE!PLAY!5!4!PAUSE!PLAY!3!4!5!6!5!4!5!6!7!8!7!6!5!4!5!6!7!8!9!10!10!10!9!8!7!6!5!4!3!2!1!0!0!0!0!0!1!2!3!4!5!6!PAUSE!PLAY!PAUSE!PLAY!5!4!3!2!1!2!3!4!5!6!7!8!7!6!5!4!3!4!5!6!7!6!5!4!3!2!3!4!5!4!5!6!7!8!9!10!10!9!8!7!6!5!4!3!2!1!0!0!0!0!0!0!0!0!1!2!3!4!5!6!7!8!9!10!10!10!10!9!8!7!6!5!4!3!2!1!0!0!0!0!1!2!3!4!5!6!7!8!9!8!7!6!5!6!5!4!3!4!5!6!7!6!5!4!3!2!3!4!5!6!7!8!7!6!5!4!3!4!5!6!5!4!3!2!3!4!5!6!7!6!5!4!3!4!5!6!7!8!9!10!10!10!10!10!9!8!7!6!5!4!3!2!1!0!0!0!0!0!0!0!1","0!0.2260!0.5130!2.1130!6.0240!6.0240!6.9050!7.3530!7.9769!9.0820!10.074!11.914!13.242!13.562!17.226!18.058!19.146!22.633!25.384!40.281!40.680!41.177!41.897!43.144!47.305!47.976!48.792!55.384!62.745!65.353!66.521!68.905!78.387!79.897!80.105!80.328!80.505!81.144!90.377!92.360!92.744!96.072!96.328!96.601!96.921!98.905!102.88!104.61!105.72!105.97!108.82!110.15!111.62!113.59!113.85!114.73!114.92!122.02!125.06!126.29!127.86!129.62!131.46!131.72!131.94!132.15!132.41!133.38!133.88!133.91!133.95!133.98!134.01!134.05!134.08!134.11!134.15!134.18!134.21!134.24!134.28!137.97!138.29!138.55!139.48!142.52!143.64!143.93!144.20!145.92!147.19!147.41!148.00!148.23!148.39!149.53!151.32!151.57!151.93!153.67!156.29!158.10!160.52!160.85!161.08!161.30!166.68!167.05!167.48!167.96!168.85!169.17!169.43!169.64!176.12!177.28!178.96!183.00!174.39!175.69!176.78!187.43!159.40!160.91!164.41!164.85!165.25!166.69!167.41!167.79!168.25!168.69!169.01!169.39!169.63!169.86!170.10!170.34!170.83!170.87!170.90!170.93!170.97!171.00!171.03!171.10!171.60!171.64!171.67!171.70!171.73!171.77!171.80!171.83!171.87!171.90!171.93!171.97!172.00!172.05!172.55!172.75!172.99!173.20!173.57!174.61!106.27!109.40!-29.66!-29.01!-28.82!-28.65!-28.45!-28.21!-25.67!-24.77!-24.31!-24.06!-23.80!-23.54!-23.32!-23.10!-22.87!-22.66!-22.47!-22.25!-22.06!-21.83!-21.61!-21.37!-21.16!-20.95!-20.76!-20.60!-20.41!-20.21!-20.01!-19.81!-18.97!-18.23!-18.01!-17.81!-17.27!-16.77!-16.74!-16.70!-16.60!-16.10!-16.07!-16.03!-16.00!-15.97!-15.93!-15.90!-15.87!-15.83!-15.80!-15.77!-15.74!-15.70!-15.67!-15.64!-15.60!-15.57!-15.08!-15.04!-15.01!-14.98!-14.94!-14.91!-14.88!-14.84!-14.81!-14.78!-14.75!-14.71!-14.61!-14.12!-14.08!-14.05!-14.02!-13.98!-13.95!-13.92!-13.88!-13.85!-13.82!-13.79!-13.75!-13.57!-13.08!-13.04!-13.01!-12.98!-12.94!-12.91!-12.88!-12.84!-12.55!-12.28!-11.53!-10.84!-10.36!-9.547!-9.259!-8.699!-7.947!-7.179!-6.955!-6.748!-6.428!-6.172!-5.708!-5.499!-5.292!-4.828!-4.620!-4.428!-3.884!-3.676!-3.531!-2.203!-0.891!-0.667!-0.091!0.1960!0.7400!0.9320!1.0920!1.7480!2.4840!2.7080!3.1080!3.3640!3.9720!4.2440!5.1240!5.3960!5.8120!6.0680!6.2600!6.4680!6.6760!7.1750!7.2080!7.2410!7.2740!7.3070!7.3400!7.3730!7.4060!7.4390!7.4720!7.5400!8.0390!8.0720!8.1050!8.1380!8.1710!8.2040!8.2370!8.2700!8.3030!8.3360!8.3690!8.4020!8.4350!8.4680!8.5010!8.6760","0!!0!!0!!0","0!!0!!0!!0","NULL","NULL","male","19"," after video 2 no other videos would load for me.  hope this doesn't cause you to reject my hit.","timing:","10"
"FSF_r2b_ob_0","245","NULL","ob","2","b","getit","0!!1!!0!!1!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!4","0!!16.909!!17.243!!18.845!!19.532!!25.486!!25.917!!26.238!!26.493!!26.733!!26.973!!27.213!!27.870!!28.590!!30.861!!31.406!!31.646!!31.854!!32.238!!32.509!!32.830!!33.294!!33.582!!33.838!!34.222!!35.759!!36.127!!36.479!!36.766!!37.039!!37.295!!37.519!!37.743!!38.302!!38.654!!45.055!!45.312!!45.488!!45.696!!45.888!!46.095!!46.321!!47.008","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0!!49.206!!49.493!!49.992!!50.025!!50.058!!50.091!!50.124!!50.157!!50.190!!50.223!!50.256!!50.289!!50.322!!50.355!!50.388!!50.421!!50.453!!50.486!!50.519!!50.552!!50.585!!50.618!!50.654!!50.684!!50.71","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!10!!10!!10!!10!!10!!10!!10!!10!!10!!10!!10!!10!!10!!10!!10!!10!!9!!8!!7!!6!!5!!6!!7!!8!!7!!6!!5!!4!!3!!2!!1!!0"
"FSF_r2a_sc_0","248","2013-11-07 22:49","sc","2","a","getit","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0","0!!30.162!!30.450!!30.706!!30.922!!31.155!!31.970!!32.610!!32.834!!33.994!!35.298!!36.818!!37.042!!37.282!!37.490!!37.699!!37.907!!38.155!!38.394!!38.658!!39.090!!40.953!!41.170!!41.482!!41.770!!42.027!!42.314!!42.538!!42.786!!43.090!!43.323!!43.666!!49.491!!49.706!!49.939!!50.162!!50.386!!50.601!!50.819!!51.379!!52.403!!52.683!!52.890","0!1!2!3!4!5!6!7!8!7!6!5!6!5!6!5!4!5!6!7!6!5!4!3!2!1!0!1!0!1!0!0!1!0!1!0!1!2!3!4!5!6!7!8!9!10!10!10!10!10!10!10!9!8!7!6!5!4!3!2!1!0!0!0!0!0!0!0!1!2!1!0!1!2!3!2!1!0!1!0!0!1!2!3!4!3!2!1!2!1!0!1!0!1!2!3!2!1!0!1!2!1!0!0!0!1!0!1!2!1!0!1!0!1!2!1!2!1!2!1!2!1!0!1!2!1!2!1!2!3!4!5!4!3!2!1!0!1!2!3!2!1!0!1!2!1!2!1!2!1!2!1!2!1!0!1!0!1!0!0!1!2!1!0!1!0!1!2!3!4!5!6!7!6!5!4!3!2!1!0!1!2!1!0!1!2!3!2!1!0!1!0!1!2!3!2!1!0!1!2!3!4!3!2!3!2","0!10.667!10.842!11.018!11.226!11.426!11.641!11.842!12.361!13.121!13.378!13.618!15.930!20.282!22.091!26.089!29.306!32.482!35.946!36.194!39.730!39.946!40.121!40.329!40.538!40.737!40.970!54.459!65.082!85.506!85.947!86.194!87.707!90.587!113.95!125.64!127.46!132.76!133.26!133.29!133.32!133.36!133.39!133.42!133.46!133.49!133.52!133.56!133.59!133.62!133.66!133.69!134.26!134.75!134.79!134.82!134.86!134.89!134.92!134.95!134.99!135.02!135.05!135.08!135.12!135.15!135.18!135.22!142.57!142.74!143.67!143.87!145.86!146.05!146.25!146.62!147.74!147.92!149.37!151.00!154.51!160.41!160.72!161.07!161.26!162.77!163.62!163.82!164.58!166.61!167.39!167.92!168.41!170.22!170.76!171.39!173.67!174.05!174.29!174.90!177.30!177.84!178.09!178.31!181.78!182.12!184.02!188.49!189.17!189.55!189.77!195.16!196.25!198.60!205.42!208.01!211.22!215.90!217.12!218.86!232.50!232.88!239.05!239.45!241.03!241.31!246.19!246.87!259.08!259.30!259.52!259.79!260.68!260.91!261.13!261.34!261.57!265.93!269.45!269.71!278.94!279.17!279.69!280.28!281.11!289.21!297.21!304.66!305.75!307.11!309.14!314.22!314.54!328.36!351.69!352.06!354.63!357.69!367.77!375.86!379.53!379.95!382.71!382.97!384.51!385.34!385.61!385.81!385.99!386.13!386.31!386.44!386.63!387.38!387.68!387.85!388.01!388.17!388.35!388.51!393.30!393.65!394.75!414.76!417.15!417.40!418.09!420.13!420.42!445.60!447.75!462.51!465.80!468.67!468.92!472.99!473.58!476!489.24!489.50!489.81!490.12!495.56!495.76!496.88!497.15","0!!0!!0!!0","0!!0!!0!!0","Detroit","United States","Male","23"," ","0!!23.437!!23.835!!24.050!!24.338!!24.588!!24.812!!25.043!!25.299!!25.506!!25.747!!27.187!!27.444!!27.660!!27.923!!28.164!!29.963!!30.155!!30.323!!33.276!!33.467!!33.691!!33.891!!34.108!!34.346!!34.56","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!6!!7!!8!!7!!6!!5!!4!!3!!2!!1!!0"
"FSF_r2a_me_0","249","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_me_0","250","NULL","so","2","b","getit","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0","0!!24.507!!24.828!!25.310!!25.569!!25.842!!26.085!!26.397!!26.667!!26.921!!27.256!!27.882!!28.098!!28.305!!28.513!!28.694!!28.862!!29.030!!29.197!!29.378!!29.546!!29.733!!31.743!!31.935!!32.263!!32.467!!32.664!!32.851!!33.072!!33.299!!33.514!!33.736!!40.832!!41.052!!41.276!!41.476!!41.688!!41.931!!42.200!!42.471!!43.257!!44.157","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0!!8.7579!!9.0090!!9.1649!!9.3129!!9.4630!!9.6100!!9.7699!!9.9279!!10.097!!10.255!!12.497!!12.663!!12.837!!12.990!!13.164!!15.582!!15.769!!15.940!!18.489!!18.663!!18.826!!18.980!!19.141!!19.375!!19.41","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!6!!7!!8!!7!!6!!5!!4!!3!!2!!1!!0"
"FSF_r2b_so_0","246","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_fa_0","247","NULL","NULL","NULL","NULL","getit","10","timing:","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","timing:","10"
"FSF_r2b_sc_0","251","2013-11-07 22:42","me","2","a","getit","10","timing:","0!1!0!1!2!3!2!1!0!1!2!1!0!1!2!3!2!1!0!0!1!2!1!0!1!2!1!0!1!2!1!0!1!2!3!4!5!4!3!2!1!0!1!2!1!0!0!0","0!4.3930!4.7610!35.466!35.881!36.286!39.101!40.947!42.200!43.966!44.308!45.843!46.233!49.518!49.939!51.921!52.960!53.286!53.571!53.825!59.029!59.420!61.524!61.857!66.501!66.891!83.890!84.279!91.572!92.026!94.161!94.574!108.31!108.84!109.28!109.66!110.13!113.82!114.20!114.61!115.35!115.68!124.23!124.79!124.97!125.29!125.65!134.69","0!!0!!0!!0","0!!0!!0!!0","Poughkeepsie","USA","F","21"," ","timing:","10"
"FSF_r2b_me_0","252","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_fa_0","253","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_so_0","254","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_so_0","255","NULL","so","2","b","getit","10","timing:","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","timing:","10"
"FSF_r2b_me_0","257","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_fa_0","258","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_fa_0","259","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_me_0","260","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2a_me_0","256","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_fa_0","261","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_fa_0","262","2013-11-07 23:04","me","2","b","getit","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9","0!!11.761!!12.080!!16.414!!16.761!!17.001!!17.197!!17.399!!17.602!!17.802!!17.996!!18.819","0!1!2!3!4!5!6!7!8!9!10!10!10!10!9!8!8!8!7!8!9!8!8!8!8!8!8!8!8!8!8!8!8!PAUSE!PLAY!PAUSE!PLAY!PAUSE!PLAY!PAUSE!PLAY!9!10!10!10!9!8!7!6!5!4!3!2!1!0!0!1!2!3!4!5!6!7!6","0!3.1050!3.3159!3.5199!5.0830!5.3420!5.5670!5.7910!6.0250!6.2650!6.4739!6.6909!6.9040!7.1300!7.8849!8.2060!13.616!14.098!23.772!24.712!26.131!43.348!59.897!60.062!60.302!60.468!60.634!60.819!60.996!61.177!61.364!61.558!61.741!64.216!64.216!75.404!68.553!127.32!111.31!119.04!72.174!76.081!76.467!124.80!125.12!202.46!202.76!202.97!203.17!203.36!204.63!204.90!205.12!205.32!205.51!205.73!328.83!329.07!329.25!329.45!329.66!330.33!330.65!332.85","seen!!0!!seen!!seen","0!!0!!0!!0","NULL","usa","male","32"," good","0!!7.6970!!10.509!!11.098!!11.473!!11.761!!11.990!!12.201!!12.405!!12.807!!13.111!!17.629!!17.833!!18.022!!18.201!!18.378!!22.940!!23.625!!24.042!!24.256!!24.769!!25.408!!25.625!!25.803!!25.986!!26.17","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0!!0!!0"
"FSF_r2b_fa_0","263","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_fa_0","264","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_fa_0","265","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_sc_0","266","NULL","sc","2","b","getit","0!!1!!2!!3!!4!!5!!6!!7!!8!!7!!6!!5!!4!!3!!2!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1","0!!28.990!!29.253!!29.516!!30.029!!30.276!!30.541!!30.940!!31.253!!34.125!!34.644!!35.189!!35.581!!36.092!!36.653!!37.292!!38.541!!38.957!!39.373!!39.726!!39.950!!40.220!!40.534!!40.884!!42.052!!47.877!!48.269!!48.588!!48.924!!49.235!!49.572!!49.894!!50.205!!51.868","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0!!38.206!!38.882!!39.283!!39.782!!39.815!!39.848!!39.881!!39.914!!39.947!!39.980!!40.013!!40.450!!40.707!!41.394!!41.894!!41.927!!41.960!!41.993!!42.026!!42.059!!42.092!!42.125!!42.157!!42.190!!42.22","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0!!0!!0!!0!!1!!2!!3!!4!!5!!6!!7"
"FSF_r2b_so_0","267","NULL","so","2","b","getit","10","timing:","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","timing:","10"
"FSF_r2b_fa_0","269","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_ph_0","268","NULL","ph","2","b","getit","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!4!!5!!6!!7!!8!!9!!10!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0","0!!26.279!!26.567!!26.907!!27.137!!27.400!!27.587!!28.253!!28.799!!29.955!!31.568!!33.707!!34.381!!34.725!!35.373!!35.818!!36.381!!36.980!!37.743!!37.988!!38.738!!39.187!!39.736!!40.334!!40.647!!40.753!!47.009!!47.215!!47.361!!47.548!!47.923!!48.169!!48.851!!49.028!!49.203!!49.394","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0!!10.164!!10.710!!10.970!!11.124!!11.239!!12.769!!13.077!!13.269!!13.541!!14.144!!17.120!!17.569!!18.103!!18.108!!18.414!!19.832!!20.130!!20.384!!21.976!!22.126!!22.320!!22.519!!22.821!!23.016!!23.27","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!6!!7!!8!!7!!6!!5!!4!!3!!2!!1!!0"
"FSF_r2b_ob_0","270","NULL","ob","2","b","getit","0!!0!!1!!0!!1!!2!!3!!4!!3!!2!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6","0!!22.378!!23.924!!24.444!!30.667!!30.930!!31.098!!33.905!!37.072!!38.254!!39.875!!40.500!!40.872!!41.910!!42.737!!42.960!!43.420!!43.657!!43.822!!44.586!!49.228!!49.688!!50.764!!51.509","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0!!8.0559!!8.2639!!8.4370!!8.5969!!8.7660!!8.9079!!9.0369!!9.2360!!9.4099!!9.5989!!12.082!!12.322!!12.503!!12.682!!12.865!!14.668!!14.968!!15.217!!17.736!!17.963!!18.132!!18.297!!18.465!!18.654!!18.81","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!7!!6!!5!!6!!7!!8!!7!!6!!5!!4!!3!!2!!1!!0"
"FSF_r2a_sc_0","271","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r2b_fa_0","272","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"FSF_r1a_sc_0","273","2013-11-07 23:35","sc","1","a","getit","0!!1!!2!!3!!4!!5!!6!!7!!8","0!!1.8510!!2.0190!!2.1770!!2.3650!!3.0989!!3.2740!!3.4190!!3.5860","0!1!2!3!4!5!6!7!8!9!10!10!10!10!10!10!10!10!9!8!7!6!5!4!3!2!1!0!0!0!0!PAUSE!PLAY!1!2!3!4!5!6!7!8!9!10!10!10","0!1.8799!2.3849!2.4700!2.5690!2.6359!2.7129!2.8019!2.8789!2.9700!3.0539!3.1349!3.2129!3.2960!3.3789!3.4629!3.5460!3.7760!5.8789!6.3789!6.4749!6.5449!6.6289!6.7119!6.7999!6.8789!6.9619!7.0449!7.1289!7.2119!7.2949!8.4679!8.4679!8.9549!9.4560!9.5380!9.6229!9.7039!9.7880!9.8729!9.9620!10.045!10.121!10.212!10.289","0!!0!!0!!0","0!!0!!0!!0","cccccccccccccccc","cccccccccccccccccccccccc","cccccccccccccccccccc","cccccccccccccccccccc"," amy testing","0!!1.9670!!2.1899!!2.3379!!3.6459!!4.1459!!4.2349!!4.3190!!4.4069!!4.4849!!4.5690!!4.6529","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10"
"FSF_r2b_so_0","274","NULL","so","2","b","getit","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!9!!8!!9!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!9!!8!!7!!6!!5!!4!!3!!2!!1!!0!!0!!0!!0!!0!!0!!0!!0!!0!!0","0!!30.657!!30.870!!31.075!!31.730!!32.065!!32.634!!32.860!!33.040!!33.467!!34.532!!35.518!!35.761!!35.864!!36.144!!38.417!!38.639!!38.856!!39.130!!39.377!!39.624!!40.038!!40.273!!40.521!!41.065!!41.792!!42.351!!42.572!!42.745!!42.902!!43.070!!43.266!!43.453!!43.636!!43.805!!43.982!!44.150!!52.258!!52.430!!52.578!!52.765!!52.886!!53.822!!54.210!!54.769!!54.801!!54.833!!54.866!!54.897!!54.930!!54.961!!54.994!!55.025!!55.058!!55.088!!55.121","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0!!24.627!!24.960!!25.348!!26.042!!26.289!!26.493!!26.690!!26.914!!27.105!!27.272!!27.467!!27.812!!27.963!!28.111!!28.263!!28.426!!30.209!!30.403!!30.735!!32.770!!33.031!!33.177!!33.325!!33.466!!33.61","0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!9!!8!!7!!6!!5!!6!!7!!8!!7!!6!!5!!4!!3!!2!!1!!0!!1!!2!!3!!4!!5!!6!!7!!8!!9!!10!!10!!10!!9!!8!!7!!6!!5!!6!!7!!8!!7!!6!!5!!4!!3!!2!!1!!0"
"FSF_r2b_fa_0","275","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
